path,participant_id,sequence_id,sign
กลับ\28.parquet,28,3,กลับ
กลับ\29.parquet,29,3,กลับ
กลับ\3.parquet,3,3,กลับ
กลับ\4.parquet,4,3,กลับ
กลับ\5.parquet,5,3,กลับ
กลับ\6.parquet,6,3,กลับ
กลับ\7.parquet,7,3,กลับ
กลับ\8.parquet,8,3,กลับ
กลับ\9.parquet,9,3,กลับ
ข\0.parquet,0,71,ข
ข\1.parquet,1,71,ข
ข\10.parquet,10,71,ข
ข\11.parquet,11,71,ข
ข\12.parquet,12,71,ข
ข\13.parquet,13,71,ข
ข\14.parquet,14,71,ข
ข\15.parquet,15,71,ข
ข\16.parquet,16,71,ข
ข\17.parquet,17,71,ข
ข\19.parquet,19,71,ข
ข\2.parquet,2,71,ข
ข\20.parquet,20,71,ข
ข\22.parquet,22,71,ข
ข\23.parquet,23,71,ข
ข\24.parquet,24,71,ข
ข\25.parquet,25,71,ข
ข\27.parquet,27,71,ข
ข\28.parquet,28,71,ข
ข\29.parquet,29,71,ข
ข\3.parquet,3,71,ข
ข\4.parquet,4,71,ข
ข\5.parquet,5,71,ข
ข\6.parquet,6,71,ข
ข\7.parquet,7,71,ข
ข\8.parquet,8,71,ข
ข\9.parquet,9,71,ข
ขนม\0.parquet,0,17,ขนม
ขนม\1.parquet,1,17,ขนม
ขนม\10.parquet,10,17,ขนม
ขนม\11.parquet,11,17,ขนม
ขนม\12.parquet,12,17,ขนม
ขนม\13.parquet,13,17,ขนม
ขนม\14.parquet,14,17,ขนม
ขนม\15.parquet,15,17,ขนม
ขนม\16.parquet,16,17,ขนม
ขนม\17.parquet,17,17,ขนม
ขนม\19.parquet,19,17,ขนม
ขนม\2.parquet,2,17,ขนม
ขนม\20.parquet,20,17,ขนม
ขนม\22.parquet,22,17,ขนม
ขนม\23.parquet,23,17,ขนม
ขนม\24.parquet,24,17,ขนม
ขนม\25.parquet,25,17,ขนม
ขนม\27.parquet,27,17,ขนม
ขนม\28.parquet,28,17,ขนม
ขนม\29.parquet,29,17,ขนม
ขนม\3.parquet,3,17,ขนม
ขนม\4.parquet,4,17,ขนม
ขนม\5.parquet,5,17,ขนม
ขนม\6.parquet,6,17,ขนม
ขนม\7.parquet,7,17,ขนม
ขนม\8.parquet,8,17,ขนม
ขนม\9.parquet,9,17,ขนม
ขอบคุณ\0.parquet,0,4,ขอบคุณ
ขอบคุณ\1.parquet,1,4,ขอบคุณ
ขอบคุณ\10.parquet,10,4,ขอบคุณ
ขอบคุณ\11.parquet,11,4,ขอบคุณ
ขอบคุณ\12.parquet,12,4,ขอบคุณ
ขอบคุณ\13.parquet,13,4,ขอบคุณ
ขอบคุณ\14.parquet,14,4,ขอบคุณ
ขอบคุณ\15.parquet,15,4,ขอบคุณ
ขอบคุณ\16.parquet,16,4,ขอบคุณ
ขอบคุณ\17.parquet,17,4,ขอบคุณ
ขอบคุณ\19.parquet,19,4,ขอบคุณ
ขอบคุณ\2.parquet,2,4,ขอบคุณ
ขอบคุณ\20.parquet,20,4,ขอบคุณ
ขอบคุณ\22.parquet,22,4,ขอบคุณ
ขอบคุณ\23.parquet,23,4,ขอบคุณ
ขอบคุณ\24.parquet,24,4,ขอบคุณ
ขอบคุณ\25.parquet,25,4,ขอบคุณ
ขอบคุณ\27.parquet,27,4,ขอบคุณ
ขอบคุณ\28.parquet,28,4,ขอบคุณ
ขอบคุณ\29.parquet,29,4,ขอบคุณ
ขอบคุณ\3.parquet,3,4,ขอบคุณ
ขอบคุณ\4.parquet,4,4,ขอบคุณ
ขอบคุณ\5.parquet,5,4,ขอบคุณ
ขอบคุณ\6.parquet,6,4,ขอบคุณ
ขอบคุณ\7.parquet,7,4,ขอบคุณ
ขอบคุณ\8.parquet,8,4,ขอบคุณ
ขอบคุณ\9.parquet,9,4,ขอบคุณ
ขึ้น\0.parquet,0,7,ขึ้น
ขึ้น\1.parquet,1,7,ขึ้น
ขึ้น\10.parquet,10,7,ขึ้น
ขึ้น\11.parquet,11,7,ขึ้น
ขึ้น\12.parquet,12,7,ขึ้น
ขึ้น\13.parquet,13,7,ขึ้น
ขึ้น\14.parquet,14,7,ขึ้น
ขึ้น\15.parquet,15,7,ขึ้น
ขึ้น\16.parquet,16,7,ขึ้น
ขึ้น\17.parquet,17,7,ขึ้น
ขึ้น\19.parquet,19,7,ขึ้น
ขึ้น\2.parquet,2,7,ขึ้น
ขึ้น\20.parquet,20,7,ขึ้น
ขึ้น\22.parquet,22,7,ขึ้น
ขึ้น\23.parquet,23,7,ขึ้น
ขึ้น\24.parquet,24,7,ขึ้น
ขึ้น\25.parquet,25,7,ขึ้น
ขึ้น\27.parquet,27,7,ขึ้น
ขึ้น\28.parquet,28,7,ขึ้น
ขึ้น\29.parquet,29,7,ขึ้น
ขึ้น\3.parquet,3,7,ขึ้น
ขึ้น\4.parquet,4,7,ขึ้น
ขึ้น\5.parquet,5,7,ขึ้น
ขึ้น\6.parquet,6,7,ขึ้น
ขึ้น\7.parquet,7,7,ขึ้น
ขึ้น\8.parquet,8,7,ขึ้น
ขึ้น\9.parquet,9,7,ขึ้น
ค\0.parquet,0,72,ค
ค\1.parquet,1,72,ค
ค\10.parquet,10,72,ค
ค\11.parquet,11,72,ค
ค\12.parquet,12,72,ค
ค\13.parquet,13,72,ค
ค\14.parquet,14,72,ค
ค\15.parquet,15,72,ค
ค\16.parquet,16,72,ค
ค\17.parquet,17,72,ค
ค\19.parquet,19,72,ค
ค\2.parquet,2,72,ค
ค\20.parquet,20,72,ค
ค\22.parquet,22,72,ค
ค\23.parquet,23,72,ค
ค\24.parquet,24,72,ค
ค\25.parquet,25,72,ค
ค\27.parquet,27,72,ค
ค\28.parquet,28,72,ค
ค\29.parquet,29,72,ค
ค\3.parquet,3,72,ค
ค\4.parquet,4,72,ค
ค\5.parquet,5,72,ค
ค\6.parquet,6,72,ค
ค\7.parquet,7,72,ค
ค\8.parquet,8,72,ค
ค\9.parquet,9,72,ค
คุณสบายดีไหม\0.parquet,0,66,คุณสบายดีไหม
คุณสบายดีไหม\1.parquet,1,66,คุณสบายดีไหม
คุณสบายดีไหม\10.parquet,10,66,คุณสบายดีไหม
คุณสบายดีไหม\11.parquet,11,66,คุณสบายดีไหม
คุณสบายดีไหม\12.parquet,12,66,คุณสบายดีไหม
คุณสบายดีไหม\13.parquet,13,66,คุณสบายดีไหม
คุณสบายดีไหม\14.parquet,14,66,คุณสบายดีไหม
คุณสบายดีไหม\15.parquet,15,66,คุณสบายดีไหม
คุณสบายดีไหม\16.parquet,16,66,คุณสบายดีไหม
คุณสบายดีไหม\17.parquet,17,66,คุณสบายดีไหม
คุณสบายดีไหม\19.parquet,19,66,คุณสบายดีไหม
คุณสบายดีไหม\2.parquet,2,66,คุณสบายดีไหม
คุณสบายดีไหม\20.parquet,20,66,คุณสบายดีไหม
คุณสบายดีไหม\22.parquet,22,66,คุณสบายดีไหม
คุณสบายดีไหม\23.parquet,23,66,คุณสบายดีไหม
คุณสบายดีไหม\24.parquet,24,66,คุณสบายดีไหม
คุณสบายดีไหม\25.parquet,25,66,คุณสบายดีไหม
คุณสบายดีไหม\27.parquet,27,66,คุณสบายดีไหม
คุณสบายดีไหม\28.parquet,28,66,คุณสบายดีไหม
คุณสบายดีไหม\29.parquet,29,66,คุณสบายดีไหม
คุณสบายดีไหม\3.parquet,3,66,คุณสบายดีไหม
คุณสบายดีไหม\4.parquet,4,66,คุณสบายดีไหม
คุณสบายดีไหม\5.parquet,5,66,คุณสบายดีไหม
คุณสบายดีไหม\6.parquet,6,66,คุณสบายดีไหม
คุณสบายดีไหม\7.parquet,7,66,คุณสบายดีไหม
คุณสบายดีไหม\8.parquet,8,66,คุณสบายดีไหม
คุณสบายดีไหม\9.parquet,9,66,คุณสบายดีไหม
คุณหญิงสุดารัตน์ เกยุราพันธุ์\0.parquet,0,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\1.parquet,1,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\10.parquet,10,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\11.parquet,11,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\12.parquet,12,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\13.parquet,13,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\14.parquet,14,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\15.parquet,15,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\16.parquet,16,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\17.parquet,17,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\19.parquet,19,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\2.parquet,2,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\20.parquet,20,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\22.parquet,22,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\23.parquet,23,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\24.parquet,24,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\25.parquet,25,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\27.parquet,27,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\28.parquet,28,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\29.parquet,29,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\3.parquet,3,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\4.parquet,4,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\5.parquet,5,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\6.parquet,6,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\7.parquet,7,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\8.parquet,8,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุณหญิงสุดารัตน์ เกยุราพันธุ์\9.parquet,9,24,คุณหญิงสุดารัตน์ เกยุราพันธุ์
คุย\0.parquet,0,9,คุย
คุย\1.parquet,1,9,คุย
คุย\10.parquet,10,9,คุย
คุย\11.parquet,11,9,คุย
คุย\12.parquet,12,9,คุย
คุย\13.parquet,13,9,คุย
คุย\14.parquet,14,9,คุย
คุย\15.parquet,15,9,คุย
คุย\16.parquet,16,9,คุย
คุย\17.parquet,17,9,คุย
คุย\19.parquet,19,9,คุย
คุย\2.parquet,2,9,คุย
คุย\20.parquet,20,9,คุย
คุย\22.parquet,22,9,คุย
คุย\23.parquet,23,9,คุย
คุย\24.parquet,24,9,คุย
คุย\25.parquet,25,9,คุย
คุย\27.parquet,27,9,คุย
คุย\28.parquet,28,9,คุย
คุย\29.parquet,29,9,คุย
คุย\3.parquet,3,9,คุย
คุย\4.parquet,4,9,คุย
คุย\5.parquet,5,9,คุย
คุย\6.parquet,6,9,คุย
คุย\7.parquet,7,9,คุย
คุย\8.parquet,8,9,คุย
คุย\9.parquet,9,9,คุย
ฆ\0.parquet,0,73,ฆ
ฆ\1.parquet,1,73,ฆ
ฆ\10.parquet,10,73,ฆ
ฆ\11.parquet,11,73,ฆ
ฆ\12.parquet,12,73,ฆ
ฆ\13.parquet,13,73,ฆ
ฆ\14.parquet,14,73,ฆ
ฆ\15.parquet,15,73,ฆ
ฆ\16.parquet,16,73,ฆ
ฆ\17.parquet,17,73,ฆ
ฆ\19.parquet,19,73,ฆ
ฆ\2.parquet,2,73,ฆ
ฆ\20.parquet,20,73,ฆ
ฆ\22.parquet,22,73,ฆ
ฆ\23.parquet,23,73,ฆ
ฆ\24.parquet,24,73,ฆ
ฆ\25.parquet,25,73,ฆ
ฆ\27.parquet,27,73,ฆ
ฆ\28.parquet,28,73,ฆ
ฆ\29.parquet,29,73,ฆ
ฆ\3.parquet,3,73,ฆ
ฆ\4.parquet,4,73,ฆ
ฆ\5.parquet,5,73,ฆ
ฆ\6.parquet,6,73,ฆ
ฆ\7.parquet,7,73,ฆ
ฆ\8.parquet,8,73,ฆ
ฆ\9.parquet,9,73,ฆ
ง\0.parquet,0,76,ง
ง\1.parquet,1,76,ง
ง\10.parquet,10,76,ง
ง\11.parquet,11,76,ง
ง\12.parquet,12,76,ง
ง\13.parquet,13,76,ง
ง\14.parquet,14,76,ง
ง\15.parquet,15,76,ง
ง\16.parquet,16,76,ง
ง\17.parquet,17,76,ง
ง\19.parquet,19,76,ง
ง\2.parquet,2,76,ง
ง\20.parquet,20,76,ง
ง\22.parquet,22,76,ง
ง\23.parquet,23,76,ง
ง\24.parquet,24,76,ง
ง\25.parquet,25,76,ง
ง\27.parquet,27,76,ง
ง\28.parquet,28,76,ง
ง\29.parquet,29,76,ง
ง\3.parquet,3,76,ง
ง\4.parquet,4,76,ง
ง\5.parquet,5,76,ง
ง\6.parquet,6,76,ง
ง\7.parquet,7,76,ง
ง\8.parquet,8,76,ง
ง\9.parquet,9,76,ง
จ\0.parquet,0,77,จ
จ\1.parquet,1,77,จ
จ\10.parquet,10,77,จ
จ\11.parquet,11,77,จ
จ\12.parquet,12,77,จ
จ\13.parquet,13,77,จ
จ\14.parquet,14,77,จ
จ\15.parquet,15,77,จ
จ\16.parquet,16,77,จ
จ\17.parquet,17,77,จ
จ\19.parquet,19,77,จ
จ\2.parquet,2,77,จ
จ\20.parquet,20,77,จ
จ\22.parquet,22,77,จ
จ\23.parquet,23,77,จ
จ\24.parquet,24,77,จ
จ\25.parquet,25,77,จ
จ\27.parquet,27,77,จ
จ\28.parquet,28,77,จ
จ\29.parquet,29,77,จ
จ\3.parquet,3,77,จ
จ\4.parquet,4,77,จ
จ\5.parquet,5,77,จ
จ\6.parquet,6,77,จ
จ\7.parquet,7,77,จ
จ\8.parquet,8,77,จ
จ\9.parquet,9,77,จ
จำได้\0.parquet,0,54,จำได้
จำได้\1.parquet,1,54,จำได้
จำได้\10.parquet,10,54,จำได้
จำได้\11.parquet,11,54,จำได้
จำได้\12.parquet,12,54,จำได้
จำได้\13.parquet,13,54,จำได้
จำได้\14.parquet,14,54,จำได้
จำได้\15.parquet,15,54,จำได้
จำได้\16.parquet,16,54,จำได้
จำได้\17.parquet,17,54,จำได้
จำได้\19.parquet,19,54,จำได้
จำได้\2.parquet,2,54,จำได้
จำได้\20.parquet,20,54,จำได้
จำได้\22.parquet,22,54,จำได้
จำได้\23.parquet,23,54,จำได้
จำได้\24.parquet,24,54,จำได้
จำได้\25.parquet,25,54,จำได้
จำได้\27.parquet,27,54,จำได้
จำได้\28.parquet,28,54,จำได้
จำได้\29.parquet,29,54,จำได้
จำได้\3.parquet,3,54,จำได้
จำได้\4.parquet,4,54,จำได้
จำได้\5.parquet,5,54,จำได้
จำได้\6.parquet,6,54,จำได้
จำได้\7.parquet,7,54,จำได้
จำได้\8.parquet,8,54,จำได้
จำได้\9.parquet,9,54,จำได้
จุรินทร์ ลักษณวิศิษฏ์\0.parquet,0,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\1.parquet,1,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\10.parquet,10,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\11.parquet,11,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\12.parquet,12,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\13.parquet,13,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\14.parquet,14,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\15.parquet,15,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\16.parquet,16,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\17.parquet,17,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\19.parquet,19,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\2.parquet,2,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\20.parquet,20,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\22.parquet,22,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\23.parquet,23,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\24.parquet,24,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\25.parquet,25,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\27.parquet,27,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\28.parquet,28,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\29.parquet,29,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\3.parquet,3,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\4.parquet,4,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\5.parquet,5,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\6.parquet,6,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\7.parquet,7,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\8.parquet,8,33,จุรินทร์ ลักษณวิศิษฏ์
จุรินทร์ ลักษณวิศิษฏ์\9.parquet,9,33,จุรินทร์ ลักษณวิศิษฏ์
ฉ\0.parquet,0,78,ฉ
ฉ\1.parquet,1,78,ฉ
ฉ\10.parquet,10,78,ฉ
ฉ\11.parquet,11,78,ฉ
ฉ\12.parquet,12,78,ฉ
ฉ\13.parquet,13,78,ฉ
ฉ\14.parquet,14,78,ฉ
ฉ\15.parquet,15,78,ฉ
ฉ\16.parquet,16,78,ฉ
ฉ\17.parquet,17,78,ฉ
ฉ\19.parquet,19,78,ฉ
ฉ\2.parquet,2,78,ฉ
ฉ\20.parquet,20,78,ฉ
ฉ\22.parquet,22,78,ฉ
ฉ\23.parquet,23,78,ฉ
ฉ\24.parquet,24,78,ฉ
ฉ\25.parquet,25,78,ฉ
ฉ\27.parquet,27,78,ฉ
ฉ\28.parquet,28,78,ฉ
ฉ\29.parquet,29,78,ฉ
ฉ\3.parquet,3,78,ฉ
ฉ\4.parquet,4,78,ฉ
ฉ\5.parquet,5,78,ฉ
ฉ\6.parquet,6,78,ฉ
ฉ\7.parquet,7,78,ฉ
ฉ\8.parquet,8,78,ฉ
ฉ\9.parquet,9,78,ฉ
ช\0.parquet,0,79,ช
ช\1.parquet,1,79,ช
ช\10.parquet,10,79,ช
ช\11.parquet,11,79,ช
ช\12.parquet,12,79,ช
ช\13.parquet,13,79,ช
ช\14.parquet,14,79,ช
ช\15.parquet,15,79,ช
ช\16.parquet,16,79,ช
ช\17.parquet,17,79,ช
ช\19.parquet,19,79,ช
ช\2.parquet,2,79,ช
ช\20.parquet,20,79,ช
ช\22.parquet,22,79,ช
ช\23.parquet,23,79,ช
ช\24.parquet,24,79,ช
ช\25.parquet,25,79,ช
ช\27.parquet,27,79,ช
ช\28.parquet,28,79,ช
ช\29.parquet,29,79,ช
ช\3.parquet,3,79,ช
ช\4.parquet,4,79,ช
ช\5.parquet,5,79,ช
ช\6.parquet,6,79,ช
ช\7.parquet,7,79,ช
ช\8.parquet,8,79,ช
ช\9.parquet,9,79,ช
ชน\0.parquet,0,51,ชน
ชน\1.parquet,1,51,ชน
ชน\10.parquet,10,51,ชน
ชน\11.parquet,11,51,ชน
ชน\12.parquet,12,51,ชน
ชน\13.parquet,13,51,ชน
ชน\14.parquet,14,51,ชน
ชน\15.parquet,15,51,ชน
ชน\16.parquet,16,51,ชน
ชน\17.parquet,17,51,ชน
ชน\19.parquet,19,51,ชน
ชน\2.parquet,2,51,ชน
ชน\20.parquet,20,51,ชน
ชน\22.parquet,22,51,ชน
ชน\23.parquet,23,51,ชน
ชน\24.parquet,24,51,ชน
ชน\25.parquet,25,51,ชน
ชน\27.parquet,27,51,ชน
ชน\28.parquet,28,51,ชน
ชน\29.parquet,29,51,ชน
ชน\3.parquet,3,51,ชน
ชน\4.parquet,4,51,ชน
ชน\5.parquet,5,51,ชน
ชน\6.parquet,6,51,ชน
ชน\7.parquet,7,51,ชน
ชน\8.parquet,8,51,ชน
ชน\9.parquet,9,51,ชน
ชวน หลีกภัย\0.parquet,0,15,ชวน หลีกภัย
ชวน หลีกภัย\1.parquet,1,15,ชวน หลีกภัย
ชวน หลีกภัย\10.parquet,10,15,ชวน หลีกภัย
ชวน หลีกภัย\11.parquet,11,15,ชวน หลีกภัย
ชวน หลีกภัย\12.parquet,12,15,ชวน หลีกภัย
ชวน หลีกภัย\13.parquet,13,15,ชวน หลีกภัย
ชวน หลีกภัย\14.parquet,14,15,ชวน หลีกภัย
ชวน หลีกภัย\15.parquet,15,15,ชวน หลีกภัย
ชวน หลีกภัย\16.parquet,16,15,ชวน หลีกภัย
ชวน หลีกภัย\17.parquet,17,15,ชวน หลีกภัย
ชวน หลีกภัย\19.parquet,19,15,ชวน หลีกภัย
ชวน หลีกภัย\2.parquet,2,15,ชวน หลีกภัย
